HDI Rank,Country,GDI_Value,GDI_Group,HDI_Female,HDI_Male,Lif_Expec_Female,Lif_Excep_Male,Excep_Yrs_Schooling_Female,Excep_Yrs_Schooling_Male,Mean_Yrs_Schooling_Female,Mean_Yrs_Schooling_Male,GNI_PC_Female,GNI_PC_Male
43.0,Chile,0.99,1.0,0.848,0.857,81.6,75.3,16.0,14.5,11.1,12.2,16.398,30.322
45.0,Croatia,1.03,2.0,0.866,0.841,82.0,79.1,14.1,11.3,11.3,9.4,23.775,32.689
46.0,Qatar,0.993,1.0,0.835,0.84,80.0,73.2,18.9,16.4,11.1,10.7,45.338,107.833
47.0,Argentina,0.981,1.0,0.83,0.846,77.1,74.7,14.8,13.9,9.1,9.2,14.872,27.826
48.0,Brunei Darussalam,0.966,2.0,0.814,0.843,79.3,74.4,15.4,14.7,10.9,12.3,54.386,72.835
49.0,Montenegro,0.991,1.0,0.824,0.831,79.5,72.6,14.7,13.9,10.8,11.4,17.518,25.368
50.0,Romania,,,,,,,16.3,15.3,,,24.433,34.846
51.0,Palau,0.98,1.0,0.807,0.823,77.7,69.2,15.8,15.1,10.9,11.9,,
52.0,Kazakhstan,1.007,1.0,0.823,0.817,77.8,67.1,15.3,14.8,11.9,12.1,16.791,29.296
53.0,Russian Federation,1.007,1.0,0.824,0.819,79.6,69.7,15.7,15.2,12.2,12.4,19.694,33.64
54.0,Belarus,0.924,4.0,0.784,0.848,80.6,74.7,16.0,17.1,7.3,9.0,14.911,22.721
55.0,Turkey,1.016,1.0,0.814,0.801,81.5,74.1,17.1,15.1,9.2,8.6,17.854,37.807
56.0,Uruguay,0.995,1.0,0.813,0.817,78.7,71.6,14.6,14.2,11.5,11.2,15.445,25.008
57.0,Bulgaria,1.019,1.0,0.826,0.811,81.8,75.4,13.5,12.4,11.2,10.0,18.453,28.483
58.0,Panama,,,,,76.1,71.7,,,11.7,11.4,24.05,35.049
58.0,Bahamas,1.008,1.0,0.816,0.809,80.5,77.8,16.8,14.0,11.0,10.3,27.56,40.295
60.0,Barbados,0.936,3.0,0.768,0.821,80.3,76.1,15.0,13.7,10.6,9.4,12.656,17.37
61.0,Oman,0.98,1.0,0.8,0.817,78.1,69.3,15.5,15.0,13.2,13.1,7.959,35.201
62.0,Georgia,0.981,1.0,0.802,0.818,82.9,77.7,16.4,15.4,8.9,8.6,9.475,19.864
62.0,Costa Rica,0.972,2.0,0.797,0.821,78.3,74.2,14.0,13.3,10.3,10.5,13.476,23.501
